 [2009-33-25 06:33, 69473]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - 1
 [2009-33-25 06:33, 69483]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - 1
 [2009-33-25 06:33, 69492]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - 1
 [2009-33-25 06:33, 69501]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - 1
 [2009-33-25 06:33, 69509]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - 1
 [2009-33-25 06:33, 69521]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - 1
 [2009-33-25 06:33, 69522]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - Script: ejemplo_1.sql lanzado: Thu Jun 25 18:33:00 CEST 2009
 [2009-33-25 06:33, 69522]DEBUG josejamilena.pfc.servidor.tareas.TaskPLSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184243aa5723c7b8]::executor[ec6558eb004b222f010166320000012218434f606f0da1e3]] - 5.0
 [2009-33-25 06:33, 72468]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - 1
 [2009-33-25 06:33, 72476]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - 1
 [2009-33-25 06:33, 72477]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - Script: ejemplo.sql lanzado: Thu Jun 25 18:33:03 CEST 2009
 [2009-33-25 06:33, 72477]DEBUG josejamilena.pfc.servidor.tareas.TaskSQL [cron4j::scheduler[ec6558eb004b222f0140453600000122184241da2dded5f8]::executor[ec6558eb004b222f00b8deef0000012218434f61574b0b30]] - 2949.0
 [2009-34-25 06:34,     0]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - org.sqlite.JDBC
 [2009-34-25 06:34,   135]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - jdbc:sqlite:.\estadisticas.db3
 [2009-34-25 06:34,   142]WARN  josejamilena.pfc.servidor.conexion.Estadisticas [main] - La tabla donde se guardan las estadisticas, ya existe.
 [2009-34-25 06:34,   246]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
 [2009-34-25 06:34,   553]INFO  josejamilena.pfc.servidor.conexion.Estadisticas [main] - 0
